0,1,2
Mac Ayres,spotify:artist:0fTav4sBLmYOAzKuJw0grL,indie soul
Mac Ayres,spotify:artist:0fTav4sBLmYOAzKuJw0grL,pop
Mac Ayres,spotify:artist:0fTav4sBLmYOAzKuJw0grL,r&b
Bon Iver,spotify:artist:4LEiUm1SRbFMgfqnQTwUbQ,eau claire indie
Bon Iver,spotify:artist:4LEiUm1SRbFMgfqnQTwUbQ,indie folk
Bon Iver,spotify:artist:4LEiUm1SRbFMgfqnQTwUbQ,melancholia
Quinn XCII,spotify:artist:3ApUX1o6oSz321MMECyIYd,electropop
Quinn XCII,spotify:artist:3ApUX1o6oSz321MMECyIYd,indie pop rap
Quinn XCII,spotify:artist:3ApUX1o6oSz321MMECyIYd,pop
Quinn XCII,spotify:artist:3ApUX1o6oSz321MMECyIYd,pop rap
Chase Atlantic,spotify:artist:7cYEt1pqMgXJdq00hAwVpT,pop
Porter Robinson,spotify:artist:3dz0NnIZhtKKeXZxLOxCam,complextro
Porter Robinson,spotify:artist:3dz0NnIZhtKKeXZxLOxCam,edm
Porter Robinson,spotify:artist:3dz0NnIZhtKKeXZxLOxCam,future bass
Porter Robinson,spotify:artist:3dz0NnIZhtKKeXZxLOxCam,pop dance
Porter Robinson,spotify:artist:3dz0NnIZhtKKeXZxLOxCam,progressive electro house
100 gecs,spotify:artist:6PfSUFtkMVoDkx4MQkzOi3,escape room
100 gecs,spotify:artist:6PfSUFtkMVoDkx4MQkzOi3,hyperpop
Chelsea Cutler,spotify:artist:5JMLG56F1X5mFmWNmS0iAp,alt z
Chelsea Cutler,spotify:artist:5JMLG56F1X5mFmWNmS0iAp,electropop
Chelsea Cutler,spotify:artist:5JMLG56F1X5mFmWNmS0iAp,indie poptimism
Chelsea Cutler,spotify:artist:5JMLG56F1X5mFmWNmS0iAp,pop
Chelsea Cutler,spotify:artist:5JMLG56F1X5mFmWNmS0iAp,tropical house
Ed Sheeran,spotify:artist:6eUKZXaKkcviH0Ku9w2n3V,pop
Ed Sheeran,spotify:artist:6eUKZXaKkcviH0Ku9w2n3V,uk pop
Mac Miller,spotify:artist:4LLpKhyESsyAXpc4laK94U,hip hop
Mac Miller,spotify:artist:4LLpKhyESsyAXpc4laK94U,pittsburgh rap
Mac Miller,spotify:artist:4LLpKhyESsyAXpc4laK94U,rap
6LACK,spotify:artist:4IVAbR2w4JJNJDDRFP3E83,alternative r&b
6LACK,spotify:artist:4IVAbR2w4JJNJDDRFP3E83,atl hip hop
6LACK,spotify:artist:4IVAbR2w4JJNJDDRFP3E83,hip hop
6LACK,spotify:artist:4IVAbR2w4JJNJDDRFP3E83,melodic rap
6LACK,spotify:artist:4IVAbR2w4JJNJDDRFP3E83,r&b
6LACK,spotify:artist:4IVAbR2w4JJNJDDRFP3E83,rap
6LACK,spotify:artist:4IVAbR2w4JJNJDDRFP3E83,trap
Terrace Martin,spotify:artist:7MNEVabc4cs19CbzAFZmXz,alternative r&b
Terrace Martin,spotify:artist:7MNEVabc4cs19CbzAFZmXz,indie jazz
Terrace Martin,spotify:artist:7MNEVabc4cs19CbzAFZmXz,indie r&b
Terrace Martin,spotify:artist:7MNEVabc4cs19CbzAFZmXz,indie soul
Terrace Martin,spotify:artist:7MNEVabc4cs19CbzAFZmXz,neo soul
The 1975,spotify:artist:3mIj9lX2MWuHmhNCA7LSCW,modern alternative rock
The 1975,spotify:artist:3mIj9lX2MWuHmhNCA7LSCW,modern rock
The 1975,spotify:artist:3mIj9lX2MWuHmhNCA7LSCW,pop
The 1975,spotify:artist:3mIj9lX2MWuHmhNCA7LSCW,rock
Bryson Tiller,spotify:artist:2EMAnMvWE2eb56ToJVfCWs,kentucky hip hop
Bryson Tiller,spotify:artist:2EMAnMvWE2eb56ToJVfCWs,pop
Bryson Tiller,spotify:artist:2EMAnMvWE2eb56ToJVfCWs,pop rap
Bryson Tiller,spotify:artist:2EMAnMvWE2eb56ToJVfCWs,r&b
Bryson Tiller,spotify:artist:2EMAnMvWE2eb56ToJVfCWs,rap
Bryson Tiller,spotify:artist:2EMAnMvWE2eb56ToJVfCWs,trap
Pivot Gang,spotify:artist:0kDgxQlVYVecF6MCNWJTYE,indie hip hop
Pivot Gang,spotify:artist:0kDgxQlVYVecF6MCNWJTYE,underground hip hop
Louis The Child,spotify:artist:7wg1qvie3KqDNQbAkTdbX0,edm
Louis The Child,spotify:artist:7wg1qvie3KqDNQbAkTdbX0,electropop
Louis The Child,spotify:artist:7wg1qvie3KqDNQbAkTdbX0,pop
Louis The Child,spotify:artist:7wg1qvie3KqDNQbAkTdbX0,pop dance
Louis The Child,spotify:artist:7wg1qvie3KqDNQbAkTdbX0,tropical house
Russ,spotify:artist:1z7b1Pr1rSlvWRzsW3HOrS,hawaiian hip hop
Russ,spotify:artist:1z7b1Pr1rSlvWRzsW3HOrS,rap
SZA,spotify:artist:7tYKF4w9nC0nq9CsPZTHyP,pop
SZA,spotify:artist:7tYKF4w9nC0nq9CsPZTHyP,r&b
SZA,spotify:artist:7tYKF4w9nC0nq9CsPZTHyP,rap
Oh Wonder,spotify:artist:5cIc3SBFuBLVxJz58W2tU9,electropop
Oh Wonder,spotify:artist:5cIc3SBFuBLVxJz58W2tU9,indie poptimism
Oh Wonder,spotify:artist:5cIc3SBFuBLVxJz58W2tU9,pop
Oh Wonder,spotify:artist:5cIc3SBFuBLVxJz58W2tU9,pop rock
Barry Harris,spotify:artist:5IgSjABjN0VorY1Vo41ivX,bebop
Barry Harris,spotify:artist:5IgSjABjN0VorY1Vo41ivX,hard bop
Barry Harris,spotify:artist:5IgSjABjN0VorY1Vo41ivX,jazz
Barry Harris,spotify:artist:5IgSjABjN0VorY1Vo41ivX,jazz piano
Barry Harris,spotify:artist:5IgSjABjN0VorY1Vo41ivX,stride
Michael Jackson,spotify:artist:3fMbdgg4jU18AjLCKBhRSm,pop
Michael Jackson,spotify:artist:3fMbdgg4jU18AjLCKBhRSm,r&b
Michael Jackson,spotify:artist:3fMbdgg4jU18AjLCKBhRSm,soul
H.E.R.,spotify:artist:3Y7RZ31TRPVadSFVy1o8os,alternative r&b
H.E.R.,spotify:artist:3Y7RZ31TRPVadSFVy1o8os,dance pop
H.E.R.,spotify:artist:3Y7RZ31TRPVadSFVy1o8os,pop
H.E.R.,spotify:artist:3Y7RZ31TRPVadSFVy1o8os,r&b
Ariana Grande,spotify:artist:66CXWjxzNUsdJxJ2JdwvnR,dance pop
Ariana Grande,spotify:artist:66CXWjxzNUsdJxJ2JdwvnR,pop
The Japanese House,spotify:artist:3IunaFjvNKj98JW89JYv9u,electropop
The Japanese House,spotify:artist:3IunaFjvNKj98JW89JYv9u,indie pop
The Japanese House,spotify:artist:3IunaFjvNKj98JW89JYv9u,indie poptimism
The Japanese House,spotify:artist:3IunaFjvNKj98JW89JYv9u,indietronica
The Japanese House,spotify:artist:3IunaFjvNKj98JW89JYv9u,modern dream pop
The Japanese House,spotify:artist:3IunaFjvNKj98JW89JYv9u,vapor soul
Cautious Clay,spotify:artist:6iWuBN32BqCJAeXW6o3nil,alternative r&b
Cautious Clay,spotify:artist:6iWuBN32BqCJAeXW6o3nil,indie r&b
Cautious Clay,spotify:artist:6iWuBN32BqCJAeXW6o3nil,nyc pop
Isaiah Rashad,spotify:artist:6aaMZ3fcfLv4tEbmY7bjRM,hip hop
Isaiah Rashad,spotify:artist:6aaMZ3fcfLv4tEbmY7bjRM,rap
Isaiah Rashad,spotify:artist:6aaMZ3fcfLv4tEbmY7bjRM,tennessee hip hop
Isaiah Rashad,spotify:artist:6aaMZ3fcfLv4tEbmY7bjRM,underground hip hop
SiR,spotify:artist:3QTDHixorJelOLxoxcjqGx,alternative r&b
SiR,spotify:artist:3QTDHixorJelOLxoxcjqGx,hip hop
SiR,spotify:artist:3QTDHixorJelOLxoxcjqGx,indie soul
SiR,spotify:artist:3QTDHixorJelOLxoxcjqGx,la pop
SiR,spotify:artist:3QTDHixorJelOLxoxcjqGx,r&b
SiR,spotify:artist:3QTDHixorJelOLxoxcjqGx,rap
Omar Apollo,spotify:artist:5FxD8fkQZ6KcsSYupDVoSO,alternative r&b
Omar Apollo,spotify:artist:5FxD8fkQZ6KcsSYupDVoSO,bedroom pop
Omar Apollo,spotify:artist:5FxD8fkQZ6KcsSYupDVoSO,bedroom soul
Omar Apollo,spotify:artist:5FxD8fkQZ6KcsSYupDVoSO,chill r&b
Omar Apollo,spotify:artist:5FxD8fkQZ6KcsSYupDVoSO,indie r&b
Omar Apollo,spotify:artist:5FxD8fkQZ6KcsSYupDVoSO,pop
Omar Apollo,spotify:artist:5FxD8fkQZ6KcsSYupDVoSO,r&b
Raveena,spotify:artist:2kQnsbKnIiMahOetwlfcaS,alternative r&b
Raveena,spotify:artist:2kQnsbKnIiMahOetwlfcaS,chill r&b
Raveena,spotify:artist:2kQnsbKnIiMahOetwlfcaS,indie r&b
Raveena,spotify:artist:2kQnsbKnIiMahOetwlfcaS,indie soul
Brent Faiyaz,spotify:artist:3tlXnStJ1fFhdScmQeLpuG,dmv rap
Brent Faiyaz,spotify:artist:3tlXnStJ1fFhdScmQeLpuG,pop
Brent Faiyaz,spotify:artist:3tlXnStJ1fFhdScmQeLpuG,r&b
Brent Faiyaz,spotify:artist:3tlXnStJ1fFhdScmQeLpuG,rap
