0,1,2
Jay Rock,spotify:artist:28ExwzUQsvgJooOI0X1mr3,southern hip hop
Jay Rock,spotify:artist:28ExwzUQsvgJooOI0X1mr3,trap
Jay Rock,spotify:artist:28ExwzUQsvgJooOI0X1mr3,underground hip hop
Justin Timberlake,spotify:artist:31TPClRtHm23RisEBtV3X7,dance pop
Justin Timberlake,spotify:artist:31TPClRtHm23RisEBtV3X7,pop
The 1975,spotify:artist:3mIj9lX2MWuHmhNCA7LSCW,modern alternative rock
The 1975,spotify:artist:3mIj9lX2MWuHmhNCA7LSCW,modern rock
The 1975,spotify:artist:3mIj9lX2MWuHmhNCA7LSCW,pop
The 1975,spotify:artist:3mIj9lX2MWuHmhNCA7LSCW,rock
Bill Evans,spotify:artist:4jXfFzeP66Zy67HM2mvIIF,bebop
Bill Evans,spotify:artist:4jXfFzeP66Zy67HM2mvIIF,cool jazz
Bill Evans,spotify:artist:4jXfFzeP66Zy67HM2mvIIF,jazz
Bill Evans,spotify:artist:4jXfFzeP66Zy67HM2mvIIF,jazz fusion
Bill Evans,spotify:artist:4jXfFzeP66Zy67HM2mvIIF,jazz piano
Bill Evans,spotify:artist:4jXfFzeP66Zy67HM2mvIIF,vocal jazz
Oscar Peterson,spotify:artist:6zkX5fhrSD4tdVOmimR9wB,adult standards
Oscar Peterson,spotify:artist:6zkX5fhrSD4tdVOmimR9wB,bebop
Oscar Peterson,spotify:artist:6zkX5fhrSD4tdVOmimR9wB,jazz
Oscar Peterson,spotify:artist:6zkX5fhrSD4tdVOmimR9wB,jazz piano
Oscar Peterson,spotify:artist:6zkX5fhrSD4tdVOmimR9wB,stride
Oscar Peterson,spotify:artist:6zkX5fhrSD4tdVOmimR9wB,vocal jazz
Anderson .Paak,spotify:artist:3jK9MiCrA42lLAdMGUZpwa,escape room
Migos,spotify:artist:6oMuImdp5ZcFhWP0ESe6mG,atl hip hop
Migos,spotify:artist:6oMuImdp5ZcFhWP0ESe6mG,rap
Migos,spotify:artist:6oMuImdp5ZcFhWP0ESe6mG,trap
Sarah Cothran,spotify:artist:3kft86DbqCNr7rjq3pEj0G,gen z singer-songwriter
Denzel Curry,spotify:artist:6fxyWrfmjcbj5d12gXeiNV,dark trap
Denzel Curry,spotify:artist:6fxyWrfmjcbj5d12gXeiNV,drill
Denzel Curry,spotify:artist:6fxyWrfmjcbj5d12gXeiNV,hip hop
Denzel Curry,spotify:artist:6fxyWrfmjcbj5d12gXeiNV,miami hip hop
Denzel Curry,spotify:artist:6fxyWrfmjcbj5d12gXeiNV,rap
Denzel Curry,spotify:artist:6fxyWrfmjcbj5d12gXeiNV,underground hip hop
THEY.,spotify:artist:0pghUohLPptZWBasy2wmUx,alternative r&b
THEY.,spotify:artist:0pghUohLPptZWBasy2wmUx,pop rap
THEY.,spotify:artist:0pghUohLPptZWBasy2wmUx,r&b
THEY.,spotify:artist:0pghUohLPptZWBasy2wmUx,trap soul
THEY.,spotify:artist:0pghUohLPptZWBasy2wmUx,underground hip hop
21 Savage,spotify:artist:1URnnhqYAYcrqrcwql10ft,atl hip hop
21 Savage,spotify:artist:1URnnhqYAYcrqrcwql10ft,rap
21 Savage,spotify:artist:1URnnhqYAYcrqrcwql10ft,trap
Queen,spotify:artist:1dfeR4HaWDbWqFHLkxsg1d,classic rock
Queen,spotify:artist:1dfeR4HaWDbWqFHLkxsg1d,glam rock
Queen,spotify:artist:1dfeR4HaWDbWqFHLkxsg1d,rock
Marc E. Bassy,spotify:artist:3tQx1LPXbsYjE9VwN1Peaa,pop
Marc E. Bassy,spotify:artist:3tQx1LPXbsYjE9VwN1Peaa,pop rap
Marc E. Bassy,spotify:artist:3tQx1LPXbsYjE9VwN1Peaa,r&b
6LACK,spotify:artist:4IVAbR2w4JJNJDDRFP3E83,alternative r&b
6LACK,spotify:artist:4IVAbR2w4JJNJDDRFP3E83,atl hip hop
6LACK,spotify:artist:4IVAbR2w4JJNJDDRFP3E83,hip hop
6LACK,spotify:artist:4IVAbR2w4JJNJDDRFP3E83,melodic rap
6LACK,spotify:artist:4IVAbR2w4JJNJDDRFP3E83,r&b
6LACK,spotify:artist:4IVAbR2w4JJNJDDRFP3E83,rap
6LACK,spotify:artist:4IVAbR2w4JJNJDDRFP3E83,trap
Lil Uzi Vert,spotify:artist:4O15NlyKLIASxsJ0PrXPfz,melodic rap
Lil Uzi Vert,spotify:artist:4O15NlyKLIASxsJ0PrXPfz,philly rap
Lil Uzi Vert,spotify:artist:4O15NlyKLIASxsJ0PrXPfz,rap
Lil Uzi Vert,spotify:artist:4O15NlyKLIASxsJ0PrXPfz,trap
Imagine Dragons,spotify:artist:53XhwfbYqKCa1cC15pYq2q,modern rock
Imagine Dragons,spotify:artist:53XhwfbYqKCa1cC15pYq2q,pop
Imagine Dragons,spotify:artist:53XhwfbYqKCa1cC15pYq2q,rock
24kGoldn,spotify:artist:6fWVd57NKTalqvmjRd2t8Z,cali rap
24kGoldn,spotify:artist:6fWVd57NKTalqvmjRd2t8Z,pop rap
Chet Baker,spotify:artist:3rxeQlsv0Sc2nyYaZ5W71T,adult standards
Chet Baker,spotify:artist:3rxeQlsv0Sc2nyYaZ5W71T,cool jazz
Chet Baker,spotify:artist:3rxeQlsv0Sc2nyYaZ5W71T,jazz
Chet Baker,spotify:artist:3rxeQlsv0Sc2nyYaZ5W71T,jazz trumpet
Chet Baker,spotify:artist:3rxeQlsv0Sc2nyYaZ5W71T,vocal jazz
Benny Carter,spotify:artist:5dlCVmfRbWVGOJYHzGyk32,bebop
Benny Carter,spotify:artist:5dlCVmfRbWVGOJYHzGyk32,big band
Benny Carter,spotify:artist:5dlCVmfRbWVGOJYHzGyk32,cool jazz
Benny Carter,spotify:artist:5dlCVmfRbWVGOJYHzGyk32,jazz
Benny Carter,spotify:artist:5dlCVmfRbWVGOJYHzGyk32,jazz saxophone
Benny Carter,spotify:artist:5dlCVmfRbWVGOJYHzGyk32,library music
Benny Carter,spotify:artist:5dlCVmfRbWVGOJYHzGyk32,stride
Benny Carter,spotify:artist:5dlCVmfRbWVGOJYHzGyk32,swing
Benny Carter,spotify:artist:5dlCVmfRbWVGOJYHzGyk32,vocal jazz
Lorde,spotify:artist:163tK9Wjr9P9DmM0AVK7lm,art pop
Lorde,spotify:artist:163tK9Wjr9P9DmM0AVK7lm,electropop
Lorde,spotify:artist:163tK9Wjr9P9DmM0AVK7lm,metropopolis
Lorde,spotify:artist:163tK9Wjr9P9DmM0AVK7lm,nz pop
Lorde,spotify:artist:163tK9Wjr9P9DmM0AVK7lm,pop
Jason Derulo,spotify:artist:07YZf4WDAMNwqr4jfgOZ8y,dance pop
Jason Derulo,spotify:artist:07YZf4WDAMNwqr4jfgOZ8y,pop
Jason Derulo,spotify:artist:07YZf4WDAMNwqr4jfgOZ8y,pop rap
Jason Derulo,spotify:artist:07YZf4WDAMNwqr4jfgOZ8y,post-teen pop
Guapdad 4000,spotify:artist:0NcPKaSNIHAM2RfioH9vMT,cali rap
Guapdad 4000,spotify:artist:0NcPKaSNIHAM2RfioH9vMT,oakland hip hop
Guapdad 4000,spotify:artist:0NcPKaSNIHAM2RfioH9vMT,pop rap
Guapdad 4000,spotify:artist:0NcPKaSNIHAM2RfioH9vMT,scam rap
Guapdad 4000,spotify:artist:0NcPKaSNIHAM2RfioH9vMT,trap soul
Guapdad 4000,spotify:artist:0NcPKaSNIHAM2RfioH9vMT,underground hip hop
Guapdad 4000,spotify:artist:0NcPKaSNIHAM2RfioH9vMT,vapor trap
Rich The Kid,spotify:artist:1pPmIToKXyGdsCF6LmqLmI,atl hip hop
Rich The Kid,spotify:artist:1pPmIToKXyGdsCF6LmqLmI,hip hop
Rich The Kid,spotify:artist:1pPmIToKXyGdsCF6LmqLmI,melodic rap
Rich The Kid,spotify:artist:1pPmIToKXyGdsCF6LmqLmI,plugg
Rich The Kid,spotify:artist:1pPmIToKXyGdsCF6LmqLmI,pop rap
Rich The Kid,spotify:artist:1pPmIToKXyGdsCF6LmqLmI,rap
Rich The Kid,spotify:artist:1pPmIToKXyGdsCF6LmqLmI,southern hip hop
Rich The Kid,spotify:artist:1pPmIToKXyGdsCF6LmqLmI,trap
B.o.B,spotify:artist:5ndkK3dpZLKtBklKjxNQwT,atl hip hop
B.o.B,spotify:artist:5ndkK3dpZLKtBklKjxNQwT,dance pop
B.o.B,spotify:artist:5ndkK3dpZLKtBklKjxNQwT,hip hop
B.o.B,spotify:artist:5ndkK3dpZLKtBklKjxNQwT,pop
B.o.B,spotify:artist:5ndkK3dpZLKtBklKjxNQwT,pop rap
B.o.B,spotify:artist:5ndkK3dpZLKtBklKjxNQwT,rap
B.o.B,spotify:artist:5ndkK3dpZLKtBklKjxNQwT,southern hip hop
Rihanna,spotify:artist:5pKCCKE2ajJHZ9KAiaK11H,barbadian pop
Rihanna,spotify:artist:5pKCCKE2ajJHZ9KAiaK11H,dance pop
Rihanna,spotify:artist:5pKCCKE2ajJHZ9KAiaK11H,pop
Rihanna,spotify:artist:5pKCCKE2ajJHZ9KAiaK11H,pop rap
Rihanna,spotify:artist:5pKCCKE2ajJHZ9KAiaK11H,urban contemporary
Lute,spotify:artist:75WcpJKWXBV3o3cfluWapK,hip hop
Lute,spotify:artist:75WcpJKWXBV3o3cfluWapK,indie hip hop
Lute,spotify:artist:75WcpJKWXBV3o3cfluWapK,north carolina hip hop
Lute,spotify:artist:75WcpJKWXBV3o3cfluWapK,underground hip hop
Terrace Martin,spotify:artist:7MNEVabc4cs19CbzAFZmXz,alternative r&b
Terrace Martin,spotify:artist:7MNEVabc4cs19CbzAFZmXz,indie jazz
Terrace Martin,spotify:artist:7MNEVabc4cs19CbzAFZmXz,indie r&b
Terrace Martin,spotify:artist:7MNEVabc4cs19CbzAFZmXz,indie soul
Terrace Martin,spotify:artist:7MNEVabc4cs19CbzAFZmXz,neo soul
WHOKILLEDXIX,spotify:artist:0RSogp4qeGu0ZM71JRTay3,glitchcore
WHOKILLEDXIX,spotify:artist:0RSogp4qeGu0ZM71JRTay3,viral rap
