0,1,2,3,4,5,6
Smino,spotify:artist:1ybINI1qPiFbwDXamRtwxD,NOIR,spotify:album:5rVlqi2fHOmWB764N8PsWF,2018-11-08,Z4L (with Bari & Jay2),spotify:track:3X6YJcqTinaNraRvojF62K
Bari,spotify:artist:3IrrjuvOPa1KFxq0Kk8pvN,NOIR,spotify:album:5rVlqi2fHOmWB764N8PsWF,2018-11-08,Z4L (with Bari & Jay2),spotify:track:3X6YJcqTinaNraRvojF62K
Jay2,spotify:artist:5RoJ70jcjGUibtNjye7DwO,NOIR,spotify:album:5rVlqi2fHOmWB764N8PsWF,2018-11-08,Z4L (with Bari & Jay2),spotify:track:3X6YJcqTinaNraRvojF62K
kuru,spotify:artist:1KJ5ZZBncdHtz60i3fiQYu,clueless,spotify:album:6gtMMyI4wfLnfEDvtYNQpg,2020-07-04,clueless,spotify:track:2PlrJupGTWvgVlGXSK95Me
kurtains,spotify:artist:7b2FbxYmnpGMPqDe04QmyP,clueless,spotify:album:6gtMMyI4wfLnfEDvtYNQpg,2020-07-04,clueless,spotify:track:2PlrJupGTWvgVlGXSK95Me
Smino,spotify:artist:1ybINI1qPiFbwDXamRtwxD,NOIR,spotify:album:5rVlqi2fHOmWB764N8PsWF,2018-11-08,HOOPTI,spotify:track:5deXgGdMVJ9udzS9eXYYeK
JID,spotify:artist:6U3ybJ9UHNKEdsH7ktGBZ7,Bruuuh (with Denzel Curry) [Remix],spotify:album:2VBF1VUAfb250CHkaReyAz,2021-02-05,Bruuuh (with Denzel Curry) - Remix,spotify:track:5LghBGmNUUwI2BvX2boIdK
Denzel Curry,spotify:artist:6fxyWrfmjcbj5d12gXeiNV,Bruuuh (with Denzel Curry) [Remix],spotify:album:2VBF1VUAfb250CHkaReyAz,2021-02-05,Bruuuh (with Denzel Curry) - Remix,spotify:track:5LghBGmNUUwI2BvX2boIdK
Saba,spotify:artist:7Hjbimq43OgxaBRpFXic4x,CARE FOR ME,spotify:album:6Te111t5gDZ7W94myHRqUt,2018-04-05,GREY,spotify:track:3ym9gIBrWP3LKjiH2kxyr5
kuru,spotify:artist:1KJ5ZZBncdHtz60i3fiQYu,typo,spotify:album:7ta5iTqhO33fI2pm0JFa2V,2020-11-24,typo,spotify:track:1IU8mabvThkudiabnNiMqP
Smino,spotify:artist:1ybINI1qPiFbwDXamRtwxD,NOIR,spotify:album:5rVlqi2fHOmWB764N8PsWF,2018-11-08,KOVERT,spotify:track:23MF54AtVwpMkuQb4R70Rq
Saba,spotify:artist:7Hjbimq43OgxaBRpFXic4x,Mrs. Whoever / Something in the Water,spotify:album:5NPPBBqbTIeV7yrD8gPH2w,2020-09-17,Mrs. Whoever,spotify:track:38PCpNNE5covoh1X06upVZ
Cautious Clay,spotify:artist:6iWuBN32BqCJAeXW6o3nil,Deadpan Love,spotify:album:68ioJPPDh78BdVruabXHVn,2021-06-25,Shook,spotify:track:66V5BpE4bbuRWZyehvmuq6
Royal & the Serpent,spotify:artist:64EHXDoln95lnccszdPum0,salvador dali (frumhere remix),spotify:album:5vO28ZVjeVIp3POIesjW3l,2019-07-05,salvador dali (frumhere remix),spotify:track:74s28AomHiLMxGN508SLCM
Marky Style,spotify:artist:30rdwRJSoSZicHb4xOCrme,salvador dali (frumhere remix),spotify:album:5vO28ZVjeVIp3POIesjW3l,2019-07-05,salvador dali (frumhere remix),spotify:track:74s28AomHiLMxGN508SLCM
