0,1,2
Brent Faiyaz,spotify:artist:3tlXnStJ1fFhdScmQeLpuG,dmv rap
Brent Faiyaz,spotify:artist:3tlXnStJ1fFhdScmQeLpuG,pop
Brent Faiyaz,spotify:artist:3tlXnStJ1fFhdScmQeLpuG,r&b
Brent Faiyaz,spotify:artist:3tlXnStJ1fFhdScmQeLpuG,rap
The Weeknd,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ,canadian contemporary r&b
The Weeknd,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ,canadian pop
The Weeknd,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ,pop
Clairo,spotify:artist:3l0CmX0FuQjFxr8SK7Vqag,bedroom pop
Clairo,spotify:artist:3l0CmX0FuQjFxr8SK7Vqag,indie pop
Clairo,spotify:artist:3l0CmX0FuQjFxr8SK7Vqag,pop
Post Malone,spotify:artist:246dkjvS1zLTtiykXe5h60,dfw rap
Post Malone,spotify:artist:246dkjvS1zLTtiykXe5h60,melodic rap
Post Malone,spotify:artist:246dkjvS1zLTtiykXe5h60,rap
Rex Orange County,spotify:artist:7pbDxGE6nQSZVfiFdq9lOL,bedroom pop
Rex Orange County,spotify:artist:7pbDxGE6nQSZVfiFdq9lOL,pop
Kota the Friend,spotify:artist:2AfU5LYBVCiCtuCCfM7uVX,hip hop
Kota the Friend,spotify:artist:2AfU5LYBVCiCtuCCfM7uVX,rap
Kota the Friend,spotify:artist:2AfU5LYBVCiCtuCCfM7uVX,underground hip hop
Moses Sumney,spotify:artist:5W10uJRsbt9bROJDKoI1Wn,alternative r&b
Moses Sumney,spotify:artist:5W10uJRsbt9bROJDKoI1Wn,art pop
Moses Sumney,spotify:artist:5W10uJRsbt9bROJDKoI1Wn,escape room
Moses Sumney,spotify:artist:5W10uJRsbt9bROJDKoI1Wn,indie soul
Moses Sumney,spotify:artist:5W10uJRsbt9bROJDKoI1Wn,la pop
Childish Gambino,spotify:artist:73sIBHcqh3Z3NyqHKZ7FOL,atl hip hop
Childish Gambino,spotify:artist:73sIBHcqh3Z3NyqHKZ7FOL,hip hop
Childish Gambino,spotify:artist:73sIBHcqh3Z3NyqHKZ7FOL,pop
Childish Gambino,spotify:artist:73sIBHcqh3Z3NyqHKZ7FOL,pop rap
Childish Gambino,spotify:artist:73sIBHcqh3Z3NyqHKZ7FOL,rap
